CALLE;PUNTO;long;lat;LARGO;ANCHO;Fallas;Longitudinal;Transversal;Oblicua;Esquina;Long. Incom.;Trans. Incom;O-sin definir;E-sin definir;long grados;lat grados
ISMAEL VALDES;-160;650461;5591513;3.02;6.99;0;0;0;0;0;0;0;0;0;-73.2421666666666;-39.8130555555555
ISMAEL VALDES;-190;650466;5591544;2.76;4.97;0;0;0;0;0;0;0;0;0;-73.2421111111111;-39.8127777777777
ISMAEL VALDES;-210;650469;5591563;6.01;6.99;1;0;1;0;0;0;0;0;0;-73.2420833333334;-39.8126111111111
ISMAEL VALDES;-230;650472;5591581;5.01;7.05;5;1;0;2;1;0;1;0;0;-73.2420555555555;-39.8124444444444
WALTER SCHMIDT;0;650514;5591198;3.46;8.26;0;0;0;0;0;0;0;0;0;-73.2414722222223;-39.8158888888888
WALTER SCHMIDT;-10;650514;5591207;4.99;9.02;0;0;0;0;0;0;0;0;0;-73.2414722222223;-39.8158055555555
WALTER SCHMIDT;-30;650512;5591232;4.93;9.04;1;0;0;0;1;0;0;0;0;-73.2415000000000;-39.8155833333333
WALTER SCHMIDT;-50;650513;5591253;4.9;9.02;0;0;0;0;0;0;0;0;0;-73.2415000000000;-39.8153888888888
WALTER SCHMIDT;-70;650516;5591272;5.07;9.05;0;0;0;0;0;0;0;0;0;-73.2414722222223;-39.8152222222222
WALTER SCHMIDT;-90;650514;5591290;4.21;8.99;1;0;0;0;1;0;0;0;0;-73.2415000000000;-39.8150555555555
WALTER SCHMIDT;-110;650507;5591309;5.13;8.98;1;0;0;1;0;0;0;0;0;-73.2415833333334;-39.8148888888888
WALTER SCHMIDT 2;0;650515;5591463;2.68;9.96;0;0;0;0;0;0;0;0;0;-73.2415277777778;-39.8148888888888
WALTER SCHMIDT 2;-10;650510;5591472;5.41;8.99;0;0;0;0;0;0;0;0;0;-73.2415833333334;-39.8134166666666
WALTER SCHMIDT 2;-30;650513;5591491;2.97;9.01;0;0;0;0;0;0;0;0;0;-73.2415555555555;-39.8132500000000
WALTER SCHMIDT 2;-50;650525;5591512;4.99;9.05;0;0;0;0;0;0;0;0;0;-73.2414166666667;-39.8130555555555
WALTER SCHMIDT 2;-70;650523;5591531;4.71;10.14;0;0;0;0;0;0;0;0;0;-73.2414444444444;-39.8128333333333
WALTER SCHMIDT 2;-90;650526;5591552;5.84;8.98;0;0;0;0;0;0;0;0;0;-73.2414166666667;-39.8126944444444
CHACABUCO;0;650659;5591423;5.16;7.06;0;0;0;0;0;0;0;0;0;-73.2398333333334;-39.8138333333333
CHACABUCO;-10;650647;5591430;4.88;7.03;2;0;2;0;0;0;0;0;0;-73.2399722222222;-39.8137777777777
CHACABUCO;-30;650630;5591427;3.6;7.09;1;0;0;1;0;0;0;0;0;-73.2401666666667;-39.8138055555555
CHACABUCO;-50;650609;5591433;8.49;7.02;3;1;1;0;1;0;0;0;0;-73.2404166666666;-39.8137500000000
CHACABUCO;-70;650585;5591437;2.67;7.13;1;1;0;0;0;0;0;0;0;-73.2406944444444;-39.8137222222222
CHACABUCO;-90;650564;5591440;6.34;7.09;4;1;2;0;0;1;0;0;0;-73.2409444444445;-39.8136944444444
CHACABUCO;-110;650545;5591444;4.26;7.2;2;1;0;0;1;0;0;0;0;-73.2411666666667;-39.8136666666666
